title,brand,normal_price,low_price,high_price,oferta,categoria1,categoria2,datetime,Atributos,link,sin_stock,page
Arroz grado 1 largo delgado 1 kg,Cuisine & Co,0,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-largo-fino-1-kg-cuisine-and-co-1845786/p,Producto sin stock,1
"Arroz grado 2 Maxima 1 kg, grano largo angosto",Máxima MP,0,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-2-maxima-1-kg-grano-largo-angosto-1223046/p,Producto sin stock,1
Arroz grado 1 grano largo y ancho 1 kg,Miraflores,$1.699,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-1-miraflores-1-kg-grano-largo-y-ancho/p,0,1
Arroz grado 2 grano largo y ancho 1 kg,Cuisine & Co,0,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-cuisine-y-co-g2-grano-largo-ancho1kg/p,Producto sin stock,1
Arroz grado 2 blue grano largo y delgado 1 kg,Tucapel,$1.059,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-2-tucapel-1-kg-blue-bonnet-grano-largo-y-delgado/p,0,1
Arroz grado 1 grano largo y ancho 1 kg,Cuisine & Co,0,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-cuisine-y-co-g1-grano-largo-ancho1kg/p,Producto sin stock,1
Arroz grado 1 gran selección grano largo y ancho 1 kg,Tucapel,$1.479,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-1-tucapel-gran-seleccion-grano-largo-y-ancho-1-kg/p,0,1
Arroz grado 2 gran selección grano largo y ancho 1 kg,Tucapel,0,$1.239,$1.349,Oferta,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-2-tucapel-1-kg-gran-seleccion-grano-largo-y-ancho/p,0,1
Lentejas 6mm Máxima 1 kg,Máxima MP,$1.439,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/lentejas-6mm-maxima-1-kg-1607542/p,0,1
Arroz grado 1 pregraneado grano largo 1 kg,Tucapel,$1.379,0,0,0,despensa,arroz-y-legumbres,2022-07-16 21:25:28.860226,1 un,https://www.santaisabel.cl/arroz-grado-1-tucapel-1-kg-pregraneado-grano-largo/p,0,1
