title,brand,normal_price,low_price,high_price,oferta,categoria1,categoria2,datetime,Atributos,link,sin_stock,page
Camarones cocidos y pelados 100 g,Cuisine & Co,$1.190,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/camarones-cocidos-y-pelados-100-g-cuisine-and-co-1768171/p,0,1
Salmón en trozos 500 g,Cuisine & Co,$8.190,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/salmon-en-trozos-500-g-cuisine-and-co-1785290/p,0,1
Salmón filete 500 g,Cuisine & Co,$8.190,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/salmon-filete-500-g-cuisine-and-co-1785289/p,0,1
Reineta sin piel 500 g,Cuisine & Co,0,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/reineta-sin-piel-500-g-cuisine-and-co-1773231/p,Producto sin stock,1
Milanesa de merluza apanada 500 g,Cuisine & Co,0,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/milanesa-de-merluza-apanada-500-g-cuisine-and-co-1785323/p,Producto sin stock,1
Filetes de Merluza 500 g,El Golfo,$4.590,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/filetes-de-merluza-el-golfo-500-g/p,0,1
Hamburguesa de salmón 100 g,Cuisine & Co,$1.090,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/hamburguesa-de-salmon-100-g-cuisine-and-co-1819095/p,0,1
Surtido de mariscos 500 g,Cuisine & Co,0,$3.490,$3.950,Oferta,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/surtido-de-mariscos-500-g-cuisine-and-co-1855313/p,0,1
Choritos sin concha 300 g,Cuisine & Co,$2.260,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/choritos-sin-concha-300-g-cuisine-and-co-1839863/p,0,1
Camarones cocidos sin cáscara 500 g,Cuisine & Co,$10.190,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/camarones-cocidos-sin-cascara-500-g-cuisine-and-co-1624820/p,0,1
Nuggets de merluza El Golfo 400 g,El Golfo,$2.290,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/nuggets-de-merluza-500-gr-el-golfo/p,0,1
Atún congelado 500 g,Cuisine & Co,$7.690,0,0,0,supermercados,pescaderia,2022-07-16 22:00:45.289537,1 un,https://www.santaisabel.cl/atun-congelado-500-g-cuisine-and-co-1716103/p,0,1
